group,topic,hz,bw,peak_hz,peak_bw,modes,info,follow_pub_count,follow_pub_nodes,follow_sub_count,follow_sub_nodes,yolo_pub_count,yolo_pub_nodes,yolo_sub_count,yolo_sub_nodes,yolo_tracker_pub_count,yolo_tracker_pub_nodes,yolo_tracker_sub_count,yolo_tracker_sub_nodes,yolo_visual_bridge_pub_count,yolo_visual_bridge_pub_nodes,yolo_visual_bridge_sub_count,yolo_visual_bridge_sub_nodes,yolo_full_pub_count,yolo_full_pub_nodes,yolo_full_sub_count,yolo_full_sub_nodes,support_yolo_pub_count,support_yolo_pub_nodes,support_yolo_sub_count,support_yolo_sub_nodes
Follow and YOLO family,/a201_0000/platform/odom/filtered,44.988,31.81 KB/s,44.988 (VISUAL BRIDGE),31.81 KB/s (VISUAL BRIDGE),"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav_msgs/msg/Odometry,1,/a201_0000/ekf_node,1,/a201_0000/bt_navigator,1,/a201_0000/ekf_node,1,/a201_0000/bt_navigator,1,/a201_0000/ekf_node,1,/a201_0000/bt_navigator,1,/a201_0000/ekf_node,1,/a201_0000/bt_navigator,1,/a201_0000/ekf_node,1,/a201_0000/bt_navigator,1,/a201_0000/ekf_node,1,/a201_0000/bt_navigator
YOLO family only,/coord/ugv/support_observation_summary,8.733,18.35 KB/s,8.733 (SUPPORT YOLO),18.35 KB/s (SUPPORT YOLO),SUPPORT YOLO,std_msgs/msg/String,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,dji0_to_ugv_forwarder,0,-
Follow and YOLO family,/a201_0000/bond,201.378,18.09 KB/s,-,-,"FOLLOW, YOLO, VISUAL BRIDGE, FULL, SUPPORT YOLO",bond/msg/Status,20,"/a201_0000/controller_server, /a201_0000/smoother_server, /a201_0000/planner_server, +9",20,"/a201_0000/controller_server, /a201_0000/smoother_server, /a201_0000/planner_server, +10",20,"/a201_0000/controller_server, /a201_0000/smoother_server, /a201_0000/planner_server, +9",20,"/a201_0000/controller_server, /a201_0000/smoother_server, /a201_0000/planner_server, +10",-,-,-,-,20,"/a201_0000/map_server, /a201_0000/amcl, /a201_0000/lifecycle_manager_localization, +9",20,"/a201_0000/map_server, /a201_0000/amcl, +10",20,"/a201_0000/bt_navigator, /a201_0000/waypoint_follower, /a201_0000/velocity_smoother, +9",20,"/a201_0000/bt_navigator, /a201_0000/waypoint_follower, /a201_0000/velocity_smoother, +10",20,"/a201_0000/controller_server, /a201_0000/smoother_server, /a201_0000/planner_server, +9",20,"/a201_0000/controller_server, /a201_0000/smoother_server, +10"
YOLO family only,/coord/dji0/support_observation_summary,8.798,17.14 KB/s,8.798 (SUPPORT YOLO),17.14 KB/s (SUPPORT YOLO),SUPPORT YOLO,std_msgs/msg/String,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,support_detection_mux,1,dji0_to_ugv_forwarder
YOLO family only,/coord/leader_visual_target_estimate,19.795,14.15 KB/s,19.795 (VISUAL BRIDGE),14.15 KB/s (VISUAL BRIDGE),"VISUAL BRIDGE, FULL",nav_msgs/msg/Odometry,-,-,-,-,-,-,-,-,-,-,-,-,1,visual_target_estimator,4,"follow_point_generator, follow_point_planner, +2",1,visual_target_estimator,5,"follow_point_generator, follow_point_planner, +3",-,-,-,-
Follow and YOLO family,/a201_0000/platform/odom,19.193,13.57 KB/s,19.193 (YOLO),13.57 KB/s (YOLO),"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav_msgs/msg/Odometry,1,/a201_0000/platform_velocity_controller,2,"/a201_0000/ekf_node, /a201_0000/controller_server",1,/a201_0000/platform_velocity_controller,2,"/a201_0000/ekf_node, /a201_0000/controller_server",1,/a201_0000/platform_velocity_controller,2,"/a201_0000/ekf_node, /a201_0000/controller_server",1,/a201_0000/platform_velocity_controller,2,"/a201_0000/ekf_node, /a201_0000/controller_server",1,/a201_0000/platform_velocity_controller,2,"/a201_0000/ekf_node, /a201_0000/controller_server",1,/a201_0000/platform_velocity_controller,2,"/a201_0000/controller_server, /a201_0000/ekf_node"
Follow and YOLO family,/a201_0000/tf,75.592,13.40 KB/s,-,-,"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",tf2_msgs/msg/TFMessage,5,"/a201_0000/robot_state_publisher, /a201_0000/ekf_node, /a201_0000/odom_base_tf_bridge, +2",8,"/a201_0000/transform_listener_impl_56b785ec7e90, /a201_0000/transform_listener_impl_57eab2159680, +6",5,"/a201_0000/robot_state_publisher, /a201_0000/ekf_node, /a201_0000/odom_base_tf_bridge, +2",8,"/a201_0000/transform_listener_impl_59024f77e700, /a201_0000/amcl, +6",5,"/a201_0000/robot_state_publisher, /a201_0000/ekf_node, /a201_0000/odom_base_tf_bridge, +2",8,"/a201_0000/transform_listener_impl_607a431e41d0, /a201_0000/amcl, +6",5,"/a201_0000/platform_velocity_controller, /a201_0000/amcl, /a201_0000/robot_state_publisher, +2",8,"/a201_0000/amcl, /a201_0000/transform_listener_impl_5e91329bedd0, +6",5,"/a201_0000/ekf_node, /a201_0000/odom_base_tf_bridge, /a201_0000/platform_velocity_controller, +2",8,"/a201_0000/bt_navigator, /a201_0000/transform_listener_impl_55589afa4fe0, +6",5,"/a201_0000/robot_state_publisher, /a201_0000/ekf_node, /a201_0000/odom_base_tf_bridge, +2",8,"/a201_0000/transform_listener_impl_61a04040d4e0, /a201_0000/smoother_server, +6"
YOLO family only,/dji0/pose/odom,17.466,12.21 KB/s,17.466 (SUPPORT YOLO),12.21 KB/s (SUPPORT YOLO),"FULL, SUPPORT YOLO",nav_msgs/msg/Odometry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,omnet_uav_pose_to_odom,1,omnet_tcp_bridge,1,support_follow_dji0_pose_to_odom,2,"support_follow_dji1_odom_controller, support_follow_dji2_odom_controller"
Follow and YOLO family,/a201_0000/ground_truth/odom,16.992,12.01 KB/s,-,-,"FOLLOW, FULL",nav_msgs/msg/Odometry,1,/a201_0000/ugv_ground_truth_bridge,1,follow_uav,-,-,-,-,-,-,-,-,-,-,-,-,1,/a201_0000/ugv_ground_truth_bridge,2,"rosbag2_recorder, omnet_tcp_bridge",-,-,-,-
YOLO family only,/coord/leader_visual_target_estimate_status,19.795,10.27 KB/s,19.795 (VISUAL BRIDGE),10.27 KB/s (VISUAL BRIDGE),"VISUAL BRIDGE, FULL",std_msgs/msg/String,-,-,-,-,-,-,-,-,-,-,-,-,1,visual_target_estimator,0,-,1,visual_target_estimator,0,-,-,-,-,-
YOLO family only,/coord/leader_estimate_status,19.995,10.06 KB/s,19.995 (VISUAL BRIDGE),10.06 KB/s (VISUAL BRIDGE),"YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",std_msgs/msg/String,-,-,-,-,1,leader_estimator,0,-,1,leader_estimator,0,-,1,leader_estimator,0,-,1,leader_estimator,2,"rosbag2_recorder, camera_tracker",1,leader_estimator,0,-
YOLO family only,/coord/leader_visual_control_status,19.600,9.58 KB/s,19.600 (FULL),9.58 KB/s (FULL),"VISUAL BRIDGE, FULL",std_msgs/msg/String,-,-,-,-,-,-,-,-,-,-,-,-,1,visual_follow_controller,0,-,1,visual_follow_controller,0,-,-,-,-,-
YOLO family only,/coord/leader_selected_target_filtered,19.795,9.57 KB/s,19.795 (VISUAL BRIDGE),9.57 KB/s (VISUAL BRIDGE),"VISUAL BRIDGE, FULL",vision_msgs/msg/Detection2DArray,-,-,-,-,-,-,-,-,-,-,-,-,1,selected_target_filter,2,"visual_target_estimator, visual_follow_controller",1,selected_target_filter,2,"visual_target_estimator, visual_follow_controller",-,-,-,-
YOLO family only,/coord/leader_visual_actuation_bridge_status,19.600,9.41 KB/s,19.600 (FULL),9.41 KB/s (FULL),"VISUAL BRIDGE, FULL",std_msgs/msg/String,-,-,-,-,-,-,-,-,-,-,-,-,1,visual_actuation_bridge,0,-,1,visual_actuation_bridge,0,-,-,-,-,-
Follow and YOLO family,/a201_0000/sensors/camera_0/color/camera_info,24.397,9.15 KB/s,-,-,"FOLLOW, YOLO",sensor_msgs/msg/CameraInfo,1,ugv_camera_0_rgb_bridge,0,-,1,ugv_camera_0_rgb_bridge,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YOLO family only,/coord/ugv/leader_detection,8.733,8.51 KB/s,8.733 (SUPPORT YOLO),8.51 KB/s (SUPPORT YOLO),SUPPORT YOLO,std_msgs/msg/String,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,dji0_to_ugv_forwarder,0,-
Follow and YOLO family,/a201_0000/local_costmap/obstacle_layer_raw,0.600,8.51 KB/s,-,-,"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav2_msgs/msg/Costmap,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-
Follow and YOLO family,/a201_0000/local_costmap/costmap_raw,0.600,8.51 KB/s,-,-,"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav2_msgs/msg/Costmap,1,/a201_0000/local_costmap/local_costmap,1,/a201_0000/behavior_server,1,/a201_0000/local_costmap/local_costmap,1,/a201_0000/behavior_server,1,/a201_0000/local_costmap/local_costmap,1,/a201_0000/behavior_server,1,/a201_0000/local_costmap/local_costmap,1,/a201_0000/behavior_server,1,/a201_0000/local_costmap/local_costmap,1,/a201_0000/behavior_server,1,/a201_0000/local_costmap/local_costmap,1,/a201_0000/behavior_server
Follow and YOLO family,/a201_0000/local_costmap/obstacle_layer,0.600,8.50 KB/s,-,-,"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav_msgs/msg/OccupancyGrid,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-
Follow and YOLO family,/a201_0000/local_costmap/costmap,0.600,8.50 KB/s,-,-,"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav_msgs/msg/OccupancyGrid,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-
YOLO family only,/coord/leader_selected_target_filtered_status,19.795,7.72 KB/s,19.795 (VISUAL BRIDGE),7.72 KB/s (VISUAL BRIDGE),"VISUAL BRIDGE, FULL",std_msgs/msg/String,-,-,-,-,-,-,-,-,-,-,-,-,1,selected_target_filter,0,-,1,selected_target_filter,0,-,-,-,-,-
YOLO family only,/coord/dji0/leader_detection,8.798,7.33 KB/s,8.798 (SUPPORT YOLO),7.33 KB/s (SUPPORT YOLO),SUPPORT YOLO,std_msgs/msg/String,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,support_detection_mux,1,dji0_to_ugv_forwarder
Follow and YOLO family,/a201_0000/dynamic_joint_states,19.600,7.12 KB/s,19.600 (FULL),7.12 KB/s (YOLO),"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",control_msgs/msg/DynamicJointState,1,/a201_0000/joint_state_broadcaster,0,-,1,/a201_0000/joint_state_broadcaster,0,-,1,/a201_0000/joint_state_broadcaster,0,-,1,/a201_0000/joint_state_broadcaster,0,-,1,/a201_0000/joint_state_broadcaster,0,-,1,/a201_0000/joint_state_broadcaster,0,-
YOLO family only,/dji2/pose_cmd/odom,9.799,6.93 KB/s,9.799 (SUPPORT YOLO),6.93 KB/s (SUPPORT YOLO),SUPPORT YOLO,nav_msgs/msg/Odometry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,support_follow_dji2_odom_controller,0,-
YOLO family only,/dji1/pose_cmd/odom,9.798,6.93 KB/s,9.798 (SUPPORT YOLO),6.93 KB/s (SUPPORT YOLO),SUPPORT YOLO,nav_msgs/msg/Odometry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,support_follow_dji1_odom_controller,0,-
YOLO family only,/coord/leader_detection,6.797,6.91 KB/s,5.399 (TRACKER),5.44 KB/s (TRACKER),"YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",std_msgs/msg/String,-,-,-,-,1,leader_detector,1,leader_estimator,1,leader_tracker,1,leader_estimator,1,leader_tracker,1,leader_estimator,1,leader_tracker,1,leader_estimator,1,leader_detector,1,leader_estimator
YOLO family only,/coord/leader_planned_target_status,19.795,6.86 KB/s,19.795 (VISUAL BRIDGE),6.86 KB/s (VISUAL BRIDGE),"VISUAL BRIDGE, FULL",std_msgs/msg/String,-,-,-,-,-,-,-,-,-,-,-,-,1,follow_point_planner,0,-,1,follow_point_planner,0,-,-,-,-,-
Follow and YOLO family,/a201_0000/diagnostics,9.397,6.57 KB/s,9.397 (VISUAL BRIDGE),6.57 KB/s (VISUAL BRIDGE),"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",diagnostic_msgs/msg/DiagnosticArray,5,"/a201_0000/ekf_node, /a201_0000/twist_mux, /a201_0000/joy_node, +1",0,-,5,"/a201_0000/ekf_node, /a201_0000/twist_mux, /a201_0000/joy_node, +1",0,-,5,"/a201_0000/ekf_node, /a201_0000/twist_mux, /a201_0000/joy_node, +1",0,-,5,"/a201_0000/controller_manager, /a201_0000/ekf_node, /a201_0000/twist_mux, +1",0,-,5,"/a201_0000/ekf_node, /a201_0000/twist_mux, /a201_0000/joy_node, +1",0,-,5,"/a201_0000/twist_mux, /a201_0000/ekf_node, /a201_0000/joy_node, +1",0,-
Follow and YOLO family,/a201_0000/controller_manager/introspection_data/values,19.793,5.57 KB/s,19.793 (VISUAL BRIDGE),5.57 KB/s (VISUAL BRIDGE),"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",pal_statistics_msgs/msg/StatisticsValues,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-,1,/a201_0000/controller_manager,0,-
YOLO family only,/coord/leader_follow_point_status,19.995,5.51 KB/s,19.995 (VISUAL BRIDGE),5.51 KB/s (VISUAL BRIDGE),"VISUAL BRIDGE, FULL",std_msgs/msg/String,-,-,-,-,-,-,-,-,-,-,-,-,1,follow_point_generator,0,-,1,follow_point_generator,0,-,-,-,-,-
Follow and YOLO family,/a201_0000/platform/joint_states,19.200,4.87 KB/s,19.200 (FULL),4.87 KB/s (FULL),"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",sensor_msgs/msg/JointState,1,/a201_0000/joint_state_broadcaster,1,/a201_0000/robot_state_publisher,1,/a201_0000/joint_state_broadcaster,1,/a201_0000/robot_state_publisher,1,/a201_0000/joint_state_broadcaster,1,/a201_0000/robot_state_publisher,1,/a201_0000/joint_state_broadcaster,1,/a201_0000/robot_state_publisher,1,/a201_0000/joint_state_broadcaster,1,/a201_0000/robot_state_publisher,1,/a201_0000/joint_state_broadcaster,1,/a201_0000/robot_state_publisher
YOLO family only,/a201_0000/navigate_to_pose/_action/feedback,41.791,4.73 KB/s,41.791 (SUPPORT YOLO),4.73 KB/s (SUPPORT YOLO),"TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav2_msgs/action/NavigateToPose_FeedbackMessage,-,-,-,-,-,-,-,-,1,/a201_0000/bt_navigator,3,"/a201_0000/ugv_nav2_driver, /a201_0000/bt_navigator, +1",1,/a201_0000/bt_navigator,3,"/a201_0000/ugv_nav2_driver, /a201_0000/bt_navigator, +1",1,/a201_0000/bt_navigator,3,"/a201_0000/bt_navigator, /a201_0000/waypoint_follower, +1",1,/a201_0000/bt_navigator,3,"/a201_0000/bt_navigator, /a201_0000/waypoint_follower, +1"
YOLO family only,/coord/leader_detection_status,6.797,4.65 KB/s,5.399 (TRACKER),1.96 KB/s (TRACKER),"YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",std_msgs/msg/String,-,-,-,-,1,leader_detector,1,leader_estimator,1,leader_tracker,1,leader_estimator,1,leader_tracker,1,leader_estimator,1,leader_tracker,2,"rosbag2_recorder, leader_estimator",1,leader_detector,1,leader_estimator
YOLO family only,/coord/support/dji2/leader_detection,5.599,4.17 KB/s,5.599 (SUPPORT YOLO),4.17 KB/s (SUPPORT YOLO),SUPPORT YOLO,std_msgs/msg/String,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,support_dji2_leader_detector,1,support_detection_mux
Follow and YOLO family,/dji0/camera0/camera_info,9.900,3.71 KB/s,9.599 (TRACKER),3.60 KB/s (TRACKER),"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",sensor_msgs/msg/CameraInfo,1,uav_camera_bridge,0,-,1,uav_camera_bridge,1,leader_estimator,1,uav_camera_bridge,1,leader_estimator,1,uav_camera_bridge,3,"leader_estimator, visual_target_estimator, +1",1,uav_camera_bridge,3,"leader_estimator, visual_target_estimator, +1",1,uav_camera_bridge,1,leader_estimator
YOLO family only,/coord/ugv/support_awareness_status,8.733,3.49 KB/s,8.733 (SUPPORT YOLO),3.49 KB/s (SUPPORT YOLO),SUPPORT YOLO,std_msgs/msg/String,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,dji0_to_ugv_forwarder,0,-
YOLO family only,/dji2/camera0/camera_info,8.799,3.30 KB/s,8.799 (SUPPORT YOLO),3.30 KB/s (SUPPORT YOLO),SUPPORT YOLO,sensor_msgs/msg/CameraInfo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,/support_follow_spawn_dji2/uav_camera_bridge,0,-
YOLO family only,/dji1/camera0/camera_info,8.498,3.19 KB/s,8.498 (SUPPORT YOLO),3.19 KB/s (SUPPORT YOLO),SUPPORT YOLO,sensor_msgs/msg/CameraInfo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,/support_follow_spawn_dji1/uav_camera_bridge,0,-
YOLO family only,/coord/support/dji1/leader_detection,4.200,3.15 KB/s,4.200 (SUPPORT YOLO),3.15 KB/s (SUPPORT YOLO),SUPPORT YOLO,std_msgs/msg/String,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,support_dji1_leader_detector,1,support_detection_mux
YOLO family only,/coord/leader_estimate_fault,15.400,3.13 KB/s,15.400 (VISUAL BRIDGE),3.13 KB/s (VISUAL BRIDGE),"YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",std_msgs/msg/String,-,-,-,-,1,leader_estimator,0,-,1,leader_estimator,0,-,1,leader_estimator,0,-,1,leader_estimator,0,-,1,leader_estimator,0,-
YOLO family only,/coord/leader_selected_target,19.795,2.93 KB/s,19.795 (VISUAL BRIDGE),2.93 KB/s (YOLO),"YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",vision_msgs/msg/Detection2DArray,-,-,-,-,1,leader_estimator,0,-,1,leader_estimator,0,-,1,leader_estimator,1,selected_target_filter,1,leader_estimator,1,selected_target_filter,1,leader_estimator,0,-
YOLO family only,/coord/ugv/leader_detection_status,8.733,2.90 KB/s,8.733 (SUPPORT YOLO),2.90 KB/s (SUPPORT YOLO),SUPPORT YOLO,std_msgs/msg/String,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,dji0_to_ugv_forwarder,0,-
Follow and YOLO family,/clock,245.992,2.88 KB/s,244.166 (TRACKER),2.86 KB/s (TRACKER),"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",rosgraph_msgs/msg/Clock,1,clock_bridge,38,"uav_simulator, /a201_0000/ugv_ground_truth_bridge, follow_uav, +34",1,clock_bridge,39,"/a201_0000/ugv_nav2_driver, /a201_0000/robot_state_publisher, +35",1,clock_bridge,39,"/a201_0000/robot_state_publisher, /a201_0000/ekf_node, /a201_0000/twist_server_node, +35",1,clock_bridge,44,"/a201_0000/ugv_nav2_driver, /a201_0000/camera_0_static_tf, /a201_0000/controller_manager, +40",1,clock_bridge,52,"/a201_0000/bt_navigator, /a201_0000/bt_navigator_navigate_to_pose_rclcpp_node, /a201_0000/bt_navigator_navigate_through_poses_rclcpp_node, +47",1,clock_bridge,48,"/a201_0000/controller_server, /a201_0000/local_costmap/local_costmap, +44"
Follow only,/clock_raw,227.169,2.66 KB/s,-,-,FOLLOW,rosgraph_msgs/msg/Clock,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YOLO family only,/coord/dji0/leader_detection_status,8.798,2.54 KB/s,8.798 (SUPPORT YOLO),2.54 KB/s (SUPPORT YOLO),SUPPORT YOLO,std_msgs/msg/String,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,support_detection_mux,1,dji0_to_ugv_forwarder
YOLO family only,/coord/leader_distance_debug,19.995,2.50 KB/s,19.995 (VISUAL BRIDGE),2.50 KB/s (VISUAL BRIDGE),"YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",std_msgs/msg/String,-,-,-,-,1,leader_estimator,0,-,1,leader_estimator,0,-,1,leader_estimator,0,-,1,leader_estimator,0,-,1,leader_estimator,0,-
YOLO family only,/coord/ugv/support_path_advisory,8.733,2.36 KB/s,8.733 (SUPPORT YOLO),2.36 KB/s (SUPPORT YOLO),SUPPORT YOLO,std_msgs/msg/String,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,dji0_to_ugv_forwarder,0,-
YOLO family only,/coord/support/dji2/leader_detection_status,5.599,2.30 KB/s,5.599 (SUPPORT YOLO),2.30 KB/s (SUPPORT YOLO),SUPPORT YOLO,std_msgs/msg/String,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,support_dji2_leader_detector,1,support_detection_mux
YOLO family only,/coord/support/dji1/leader_detection_status,4.200,1.72 KB/s,4.200 (SUPPORT YOLO),1.72 KB/s (SUPPORT YOLO),SUPPORT YOLO,std_msgs/msg/String,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,support_dji1_leader_detector,1,support_detection_mux
Follow and YOLO family,/parameter_events,9.616,1.70 KB/s,9.616 (VISUAL BRIDGE),1.70 KB/s (VISUAL BRIDGE),"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",rcl_interfaces/msg/ParameterEvent,44,"uav_simulator, /a201_0000/ugv_ground_truth_bridge, follow_uav, +39",42,"/a201_0000/controller_server, /a201_0000/local_costmap/local_costmap, /a201_0000/transform_listener_impl_612c9f9b12e0, +37",46,"/a201_0000/robot_state_publisher, /a201_0000/controller_server, /a201_0000/local_costmap/local_costmap, +41",43,"/a201_0000/robot_state_publisher, /a201_0000/controller_server, /a201_0000/local_costmap/local_costmap, +38",45,"uav_camera_bridge, uav_depth_bridge, /a201_0000/robot_state_publisher, +40",42,"uav_camera_bridge, uav_depth_bridge, /a201_0000/robot_state_publisher, +37",50,"uav_set_pose_bridge, uav_camera_bridge, /a201_0000/ugv_nav2_driver, +45",42,"uav_set_pose_bridge, uav_camera_bridge, uav_depth_bridge, +37",57,"/a201_0000/bt_navigator, /a201_0000/bt_navigator_navigate_to_pose_rclcpp_node, /a201_0000/bt_navigator_navigate_through_poses_rclcpp_node, +51",43,"/a201_0000/bt_navigator, /a201_0000/bt_navigator_navigate_to_pose_rclcpp_node, /a201_0000/bt_navigator_navigate_through_poses_rclcpp_node, +38",56,"topic_audit_table_sampler, /a201_0000/controller_server, /a201_0000/local_costmap/local_costmap, +51",44,"/a201_0000/controller_server, /a201_0000/local_costmap/local_costmap, +39"
YOLO family only,/coord/leader_estimate,19.900,1.63 KB/s,19.597 (TRACKER),1.61 KB/s (TRACKER),"YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",geometry_msgs/msg/PoseStamped,-,-,-,-,1,leader_estimator,1,follow_uav,1,leader_estimator,1,follow_uav,1,leader_estimator,1,follow_point_generator,1,leader_estimator,3,"rosbag2_recorder, follow_point_generator, +1",1,leader_estimator,1,follow_uav
YOLO family only,/coord/leader_visual_control,19.600,1.61 KB/s,19.600 (FULL),1.61 KB/s (FULL),"VISUAL BRIDGE, FULL",geometry_msgs/msg/TwistStamped,-,-,-,-,-,-,-,-,-,-,-,-,1,visual_follow_controller,1,visual_actuation_bridge,1,visual_follow_controller,1,visual_actuation_bridge,-,-,-,-
Follow and YOLO family,/dji0/pose,19.595,1.61 KB/s,19.595 (VISUAL BRIDGE),1.59 KB/s (TRACKER),"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",geometry_msgs/msg/PoseStamped,1,uav_simulator,1,follow_uav,1,uav_simulator,2,"leader_estimator, follow_uav",1,uav_simulator,2,"leader_estimator, follow_uav",1,uav_simulator,4,"leader_estimator, follow_point_generator, +2",1,uav_simulator,7,"rosbag2_recorder, leader_estimator, +5",1,uav_simulator,3,"support_follow_dji0_pose_to_odom, leader_estimator, +1"
Follow and YOLO family,/a201_0000/local_costmap/obstacle_layer_updates,0.600,1.61 KB/s,-,-,"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",map_msgs/msg/OccupancyGridUpdate,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-
Follow and YOLO family,/a201_0000/local_costmap/obstacle_layer_raw_updates,0.600,1.61 KB/s,-,-,"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav2_msgs/msg/CostmapUpdate,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-
Follow and YOLO family,/a201_0000/local_costmap/costmap_updates,0.600,1.61 KB/s,-,-,"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",map_msgs/msg/OccupancyGridUpdate,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-,1,/a201_0000/local_costmap/local_costmap,0,-
