group,topic,hz,bw,peak_hz,peak_bw,modes,info,follow_pub_count,follow_pub_nodes,follow_sub_count,follow_sub_nodes,yolo_pub_count,yolo_pub_nodes,yolo_sub_count,yolo_sub_nodes,yolo_tracker_pub_count,yolo_tracker_pub_nodes,yolo_tracker_sub_count,yolo_tracker_sub_nodes,yolo_visual_bridge_pub_count,yolo_visual_bridge_pub_nodes,yolo_visual_bridge_sub_count,yolo_visual_bridge_sub_nodes,yolo_full_pub_count,yolo_full_pub_nodes,yolo_full_sub_count,yolo_full_sub_nodes,support_yolo_pub_count,support_yolo_pub_nodes,support_yolo_sub_count,support_yolo_sub_nodes
Silent topics,/a201_0000/global_costmap/costmap_raw_updates,silent,silent,-,-,"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav2_msgs/msg/CostmapUpdate,1,/a201_0000/global_costmap/global_costmap,2,"/a201_0000/smoother_server, /a201_0000/route_server",1,/a201_0000/global_costmap/global_costmap,2,"/a201_0000/smoother_server, /a201_0000/route_server",1,/a201_0000/global_costmap/global_costmap,2,"/a201_0000/smoother_server, /a201_0000/route_server",1,/a201_0000/global_costmap/global_costmap,2,"/a201_0000/smoother_server, /a201_0000/route_server",1,/a201_0000/global_costmap/global_costmap,2,"/a201_0000/smoother_server, /a201_0000/route_server",1,/a201_0000/global_costmap/global_costmap,2,"/a201_0000/smoother_server, /a201_0000/route_server"
Silent topics,/a201_0000/global_costmap/costmap_raw,silent,silent,-,-,"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav2_msgs/msg/Costmap,1,/a201_0000/global_costmap/global_costmap,2,"/a201_0000/smoother_server, /a201_0000/route_server",1,/a201_0000/global_costmap/global_costmap,2,"/a201_0000/smoother_server, /a201_0000/route_server",1,/a201_0000/global_costmap/global_costmap,2,"/a201_0000/smoother_server, /a201_0000/route_server",1,/a201_0000/global_costmap/global_costmap,2,"/a201_0000/smoother_server, /a201_0000/route_server",1,/a201_0000/global_costmap/global_costmap,2,"/a201_0000/smoother_server, /a201_0000/route_server",1,/a201_0000/global_costmap/global_costmap,2,"/a201_0000/smoother_server, /a201_0000/route_server"
Silent topics,/a201_0000/global_costmap/costmap,silent,silent,-,-,"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav_msgs/msg/OccupancyGrid,1,/a201_0000/global_costmap/global_costmap,0,-,1,/a201_0000/global_costmap/global_costmap,0,-,1,/a201_0000/global_costmap/global_costmap,0,-,1,/a201_0000/global_costmap/global_costmap,0,-,1,/a201_0000/global_costmap/global_costmap,0,-,1,/a201_0000/global_costmap/global_costmap,0,-
Silent topics,/a201_0000/follow_waypoints/_action/status,silent,silent,-,-,"TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",action_msgs/msg/GoalStatusArray,-,-,-,-,-,-,-,-,1,/a201_0000/waypoint_follower,0,-,1,/a201_0000/waypoint_follower,0,-,1,/a201_0000/waypoint_follower,0,-,1,/a201_0000/waypoint_follower,0,-
Silent topics,/a201_0000/follow_waypoints/_action/feedback,silent,silent,-,-,"TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav2_msgs/action/FollowWaypoints_FeedbackMessage,-,-,-,-,-,-,-,-,1,/a201_0000/waypoint_follower,0,-,1,/a201_0000/waypoint_follower,0,-,1,/a201_0000/waypoint_follower,0,-,1,/a201_0000/waypoint_follower,0,-
Silent topics,/a201_0000/follow_gps_waypoints/_action/status,silent,silent,-,-,"TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",action_msgs/msg/GoalStatusArray,-,-,-,-,-,-,-,-,1,/a201_0000/waypoint_follower,0,-,1,/a201_0000/waypoint_follower,0,-,1,/a201_0000/waypoint_follower,0,-,1,/a201_0000/waypoint_follower,0,-
Silent topics,/a201_0000/follow_gps_waypoints/_action/feedback,silent,silent,-,-,"TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav2_msgs/action/FollowGPSWaypoints_FeedbackMessage,-,-,-,-,-,-,-,-,1,/a201_0000/waypoint_follower,0,-,1,/a201_0000/waypoint_follower,0,-,1,/a201_0000/waypoint_follower,0,-,1,/a201_0000/waypoint_follower,0,-
Silent topics,/a201_0000/drive_on_heading/_action/status,silent,silent,-,-,"TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",action_msgs/msg/GoalStatusArray,-,-,-,-,-,-,-,-,1,/a201_0000/behavior_server,0,-,1,/a201_0000/behavior_server,0,-,1,/a201_0000/behavior_server,0,-,1,/a201_0000/behavior_server,0,-
Silent topics,/a201_0000/drive_on_heading/_action/feedback,silent,silent,-,-,"TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav2_msgs/action/DriveOnHeading_FeedbackMessage,-,-,-,-,-,-,-,-,1,/a201_0000/behavior_server,0,-,1,/a201_0000/behavior_server,0,-,1,/a201_0000/behavior_server,0,-,1,/a201_0000/behavior_server,0,-
Silent topics,/a201_0000/controller_selector,silent,silent,-,-,"FOLLOW, YOLO, TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",std_msgs/msg/String,0,-,2,"/a201_0000/bt_navigator_navigate_to_pose_rclcpp_node, /a201_0000/bt_navigator_navigate_through_poses_rclcpp_node",0,-,2,-,0,-,2,"/a201_0000/bt_navigator_navigate_to_pose_rclcpp_node, /a201_0000/bt_navigator_navigate_through_poses_rclcpp_node",0,-,2,"/a201_0000/bt_navigator_navigate_to_pose_rclcpp_node, /a201_0000/bt_navigator_navigate_through_poses_rclcpp_node",0,-,2,"/a201_0000/bt_navigator_navigate_to_pose_rclcpp_node, /a201_0000/bt_navigator_navigate_through_poses_rclcpp_node",0,-,2,"/a201_0000/bt_navigator_navigate_to_pose_rclcpp_node, /a201_0000/bt_navigator_navigate_through_poses_rclcpp_node"
Silent topics,/a201_0000/compute_route/_action/status,silent,silent,-,-,"TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",action_msgs/msg/GoalStatusArray,-,-,-,-,-,-,-,-,1,/a201_0000/route_server,0,-,1,/a201_0000/route_server,0,-,1,/a201_0000/route_server,0,-,1,/a201_0000/route_server,0,-
Silent topics,/a201_0000/compute_route/_action/feedback,silent,silent,-,-,"TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav2_msgs/action/ComputeRoute_FeedbackMessage,-,-,-,-,-,-,-,-,1,/a201_0000/route_server,0,-,1,/a201_0000/route_server,0,-,1,/a201_0000/route_server,0,-,1,/a201_0000/route_server,0,-
Silent topics,/a201_0000/compute_path_to_pose/_action/feedback,silent,silent,-,-,"TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav2_msgs/action/ComputePathToPose_FeedbackMessage,-,-,-,-,-,-,-,-,1,/a201_0000/planner_server,1,/a201_0000/bt_navigator_navigate_to_pose_rclcpp_node,1,/a201_0000/planner_server,1,/a201_0000/bt_navigator_navigate_to_pose_rclcpp_node,1,/a201_0000/planner_server,1,/a201_0000/bt_navigator_navigate_to_pose_rclcpp_node,1,/a201_0000/planner_server,1,/a201_0000/bt_navigator_navigate_to_pose_rclcpp_node
Silent topics,/a201_0000/compute_path_through_poses/_action/status,silent,silent,-,-,"TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",action_msgs/msg/GoalStatusArray,-,-,-,-,-,-,-,-,1,/a201_0000/planner_server,1,/a201_0000/bt_navigator_navigate_through_poses_rclcpp_node,1,/a201_0000/planner_server,1,/a201_0000/bt_navigator_navigate_through_poses_rclcpp_node,1,/a201_0000/planner_server,1,/a201_0000/bt_navigator_navigate_through_poses_rclcpp_node,1,/a201_0000/planner_server,1,/a201_0000/bt_navigator_navigate_through_poses_rclcpp_node
Silent topics,/a201_0000/compute_path_through_poses/_action/feedback,silent,silent,-,-,"TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav2_msgs/action/ComputePathThroughPoses_FeedbackMessage,-,-,-,-,-,-,-,-,1,/a201_0000/planner_server,1,/a201_0000/bt_navigator_navigate_through_poses_rclcpp_node,1,/a201_0000/planner_server,1,/a201_0000/bt_navigator_navigate_through_poses_rclcpp_node,1,/a201_0000/planner_server,1,/a201_0000/bt_navigator_navigate_through_poses_rclcpp_node,1,/a201_0000/planner_server,1,/a201_0000/bt_navigator_navigate_through_poses_rclcpp_node
Silent topics,/a201_0000/compute_and_track_route/_action/status,silent,silent,-,-,"TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",action_msgs/msg/GoalStatusArray,-,-,-,-,-,-,-,-,1,/a201_0000/route_server,0,-,1,/a201_0000/route_server,0,-,1,/a201_0000/route_server,0,-,1,/a201_0000/route_server,0,-
Silent topics,/a201_0000/compute_and_track_route/_action/feedback,silent,silent,-,-,"TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav2_msgs/action/ComputeAndTrackRoute_FeedbackMessage,-,-,-,-,-,-,-,-,1,/a201_0000/route_server,0,-,1,/a201_0000/route_server,0,-,1,/a201_0000/route_server,0,-,1,/a201_0000/route_server,0,-
Silent topics,/a201_0000/backup/_action/status,silent,silent,-,-,"TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",action_msgs/msg/GoalStatusArray,-,-,-,-,-,-,-,-,1,/a201_0000/behavior_server,2,"/a201_0000/bt_navigator_navigate_to_pose_rclcpp_node, /a201_0000/bt_navigator_navigate_through_poses_rclcpp_node",1,/a201_0000/behavior_server,2,"/a201_0000/bt_navigator_navigate_to_pose_rclcpp_node, /a201_0000/bt_navigator_navigate_through_poses_rclcpp_node",1,/a201_0000/behavior_server,2,"/a201_0000/bt_navigator_navigate_to_pose_rclcpp_node, /a201_0000/bt_navigator_navigate_through_poses_rclcpp_node",1,/a201_0000/behavior_server,2,"/a201_0000/bt_navigator_navigate_to_pose_rclcpp_node, /a201_0000/bt_navigator_navigate_through_poses_rclcpp_node"
Silent topics,/a201_0000/backup/_action/feedback,silent,silent,-,-,"TRACKER, VISUAL BRIDGE, FULL, SUPPORT YOLO",nav2_msgs/action/BackUp_FeedbackMessage,-,-,-,-,-,-,-,-,1,/a201_0000/behavior_server,2,"/a201_0000/bt_navigator_navigate_to_pose_rclcpp_node, /a201_0000/bt_navigator_navigate_through_poses_rclcpp_node",1,/a201_0000/behavior_server,2,"/a201_0000/bt_navigator_navigate_to_pose_rclcpp_node, /a201_0000/bt_navigator_navigate_through_poses_rclcpp_node",1,/a201_0000/behavior_server,2,"/a201_0000/bt_navigator_navigate_to_pose_rclcpp_node, /a201_0000/bt_navigator_navigate_through_poses_rclcpp_node",1,/a201_0000/behavior_server,2,"/a201_0000/bt_navigator_navigate_to_pose_rclcpp_node, /a201_0000/bt_navigator_navigate_through_poses_rclcpp_node"
