model,runs,mean_map50_95,median_map50_95,std_map50_95,min_map50_95,max_map50_95,stability_mean_minus_std,mean_map50,mean_precision,mean_recall
baylands-leader-v3,22,0.7192948054674947,0.7618596531184346,0.15701648337404753,0.36005000000000004,0.9027720938710413,0.5622783220934472,0.9173612833249937,0.9293436519566597,0.907446245288579
baylands-leader-v4-2,23,0.7030733221017393,0.7408865817726914,0.16686059660640257,0.3270833333333333,0.9130053175664491,0.5362127254953368,0.9108110769998714,0.9134955056153076,0.8948835190686104
baylands-leader-v1,23,0.697526307214299,0.7479799175540661,0.1644085211074307,0.33729166666666666,0.9201986181532529,0.5331177861068683,0.9107438984839784,0.9295165144354096,0.8941125787963762
baylands-leader-v5,23,0.46134336915456653,0.48081231137288594,0.15458476584758504,0.18806015358088318,0.7311243420351157,0.30675860330698146,0.837584635751561,0.8802598225856813,0.8806269211770142
baylands-leader-v6,23,0.24567395838481726,0.23139527534600948,0.14352307845810608,0.021709624561286965,0.5201267091430161,0.10215087992671118,0.5442874591170489,0.7255828806000899,0.6357650595660875
