place,x,y,z,yaw,amcl_x,amcl_y,amcl_yaw,group,loop
parkinglot_east_0,-1.515069962,-27.814300537,0.104198011,3.559253278,5.780418606410491,25.652684192147635,3.1339085930844344,parkinglot_east,
parkinglot_east_1,-18.284000397,-35.255901337,0.104198812,3.559255301,-12.068900323492986,25.824049909155775,3.1251480662611746,parkinglot_east,
parkinglot_east_2,-26.774599075,-16.123199463,0.104198011,3.581974364,-12.00210837544538,47.46583432121265,3.1372248992754384,parkinglot_east,
parkinglot_east_3,-77.172401428,-39.873100281,0.104198011,-1.130359227,-67.35584635053164,47.12103188489071,-1.5403204308555252,parkinglot_east,
parkinglot_east_4,-68.347000134,-58.598201772,0.103818281,-1.130359944,-67.36256639830252,27.438354076234784,-1.5524706184646522,parkinglot_east,
parkinglot_east_5,-59.149101257,-78.113700867,0.104198535,-1.130359944,-67.62804505515899,6.1592128471032135,-1.5982951004317096,parkinglot_east,
parkinglot_east_6,-49.166198702,-95.119201647,0.104198168,0.474237414,-66.1857804178504,-14.070832087282326,0.018485272264119904,parkinglot_east,
parkinglot_east_7,-39.183200836,-112.124702454,0.104198168,0.474237414,-66.1857804178504,-14.070832087282326,0.018485272264119904,parkinglot_east,
parkinglot_east,-29.114726983,-84.946266243,0.104198731,0.522397011,-43.62540693361591,-12.821200616536547,0.08542999661937647,parkinglot_east,
parkinglot_east_8,-15.874511800,-97.717211097,0.103958421,0.466226878,-37.16559441004349,-31.085700107950867,0.06056542769164994,parkinglot_east,
parkinglot_east_9,24.306768635,-77.476933919,0.104198812,0.500748815,7.7277267747785245,-30.69202554007372,0.03585418297231946,parkinglot_east,

parkinglot_west_0,-84.459503174,133.917007446,-0.102158992,3.602632743,2.0495544215928767,206.75101149159295,-3.115422967751497,parkinglot_west,
parkinglot_west_1,-150.492996216,101.113998413,-0.102158992,-1.165180860,-71.39979517989994,205.6352521524901,-1.6133086138885855,parkinglot_west,
parkinglot_west_2,-142.518005371,82.543296814,-0.102158992,0.364894812,-72.53159610937462,185.3861158209806,0.006619392811869446,parkinglot_west,
parkinglot_west_3,-100.520843506,102.867996216,-0.102158992,0.458435995,-26.183331149381626,186.411873638503,-0.03266904051407464,parkinglot_west,
parkinglot_west_4,-142.518005371,82.543296814,-0.102158992,0.364894812,-72.53159610937462,185.3861158209806,-0.006619392811869446,parkinglot_west,

spawn_0,-66.149611277,13.993879711,0.817009091,3.555199408,-33.971357729652425,91.88710198388365,3.1092955717416535,spawn,
spawn_1,-107.607933732,-6.028281704,0.226830669,3.603179607,-79.51719606801676,91.27986583035636,3.1230678795970817,spawn,
spawn_2,-103.074996948,-15.141599656,-0.023262599,0.427762797,-78.89163472640503,81.23993093862278,-0.01679881355694538,spawn,
spawn_3,-68.921307610,1.030983982,0.509867134,0.446875955,-42.65527751229109,80.7718232925496,-0.04315090089695607,spawn,

art_0,17.058300049,114.661003299,0.825234121,1.688569925,84.94964048641785,145.5401538259383,1.261951575954467,art,true
art_1,6.497749451,122.614993429,0.825234550,4.055730079,78.86351051581258,157.1529973801186,-2.6734291987936474,art,
art_2,0.824208161,115.254646230,0.825234807,4.055735329,70.6607188672155,153.00519327631633,-2.3663560091205067,art,
art_3,-8.104599953,90.619697571,0.825233759,4.055735329,52.015462010703374,134.7350657089649,-2.6325107259259535,art,
art_4,-20.879355295,73.617641700,0.617424764,4.055665721,33.78203293599672,124.55800409732176,-2.7314917709266164,art,
art_5,-11.230000276,81.584127218,0.832988320,0.946487314,45.14329348000317,128.2925642977036,0.508932550035322,art,
art_6,6.015820003,105.482002376,0.825234112,-0.652809029,71.18159995749727,142.22786209708212,-1.1240129130793,art,

strip_0,125.142567217,-176.544225093,-0.538013186,-0.295718500,54.8,-162.1,-0.432829504559817,strip,
strip_1,217.001452889,-173.602138931,-0.851760928,0.310998086,138.6,-200.5,-0.0528294810652512,strip,
strip_2,288.357974038,-143.774040232,-0.390922471,0.281443420,215.4,-205.1,-0.2953170005099502,strip,
strip_3,348.623079448,-133.817600759,-0.112980714,0.043519448,273.8,-222.5,-0.5109016387825165,strip,
strip_4,410.424932080,-137.456629140,-0.421449376,-0.132568434,328.0,-253.1,-0.5270381012826445,strip,
strip_5,521.204458633,-146.209378906,0.025319045,0.066450510,424.6,-309.9,1.219299549783222,strip,
